t, velocity, position
0.0, 0.0, 0.1274
0.1, 0.0008500000000000001, 0.1273575
0.2, 0.0017000000000000001, 0.12723
0.30000000000000004, 0.0025500000000000006, 0.1270175
0.4, 0.0034000000000000002, 0.12672
0.5, 0.00425, 0.12633750000000002
0.6000000000000001, 0.005100000000000001, 0.12587
0.7000000000000001, 0.005950000000000001, 0.12531750000000003
0.8, 0.0068000000000000005, 0.12468000000000001
0.9, 0.0076500000000000005, 0.12395750000000001
1.0, 0.0085, 0.12315000000000001
1.1, 0.00935, 0.12225750000000002
1.2000000000000002, 0.010200000000000002, 0.12128000000000001
1.3, 0.01105, 0.12021750000000002
1.4000000000000001, 0.011900000000000003, 0.11907000000000001
1.5, 0.012750000000000001, 0.11783750000000001
1.6, 0.013600000000000001, 0.11652000000000001
1.7000000000000002, 0.014450000000000003, 0.11511750000000001
1.8, 0.015300000000000001, 0.11363000000000001
1.9000000000000001, 0.01615, 0.1120575
2.0, 0.017, 0.11040000000000001
2.1, 0.017, 0.10870000000000002
2.2, 0.017, 0.10700000000000001
2.3000000000000003, 0.017, 0.1053
2.4000000000000004, 0.017, 0.1036
2.5, 0.017, 0.10190000000000002
2.6, 0.017, 0.10020000000000001
2.7, 0.017, 0.0985
2.8000000000000003, 0.017, 0.0968
2.9000000000000004, 0.017, 0.0951
3.0, 0.017, 0.09340000000000001
3.1, 0.017, 0.0917
3.2, 0.017, 0.09000000000000001
3.3000000000000003, 0.017, 0.0883
3.4000000000000004, 0.017, 0.08660000000000001
3.5, 0.017, 0.0849
3.6, 0.017, 0.08320000000000001
3.7, 0.017, 0.0815
3.8000000000000003, 0.017, 0.07980000000000001
3.9000000000000004, 0.017, 0.0781
4.0, 0.017, 0.07640000000000001
4.1000000000000005, 0.017, 0.0747
4.2, 0.017, 0.07300000000000001
4.3, 0.017, 0.0713
4.4, 0.017, 0.0696
4.5, 0.017, 0.06790000000000002
4.6000000000000005, 0.017, 0.06620000000000001
4.7, 0.017, 0.0645
4.800000000000001, 0.017, 0.0628
4.9, 0.017, 0.0611
5.0, 0.017, 0.05940000000000001
5.1000000000000005, 0.017, 0.0577
5.2, 0.017, 0.05600000000000001
5.300000000000001, 0.017, 0.05429999999999999
5.4, 0.017, 0.05260000000000001
5.5, 0.017, 0.0509
5.6000000000000005, 0.017, 0.049199999999999994
5.7, 0.017, 0.0475
5.800000000000001, 0.017, 0.045799999999999993
5.9, 0.017, 0.0441
6.0, 0.017, 0.04240000000000001
6.1000000000000005, 0.017, 0.0407
6.2, 0.017, 0.03900000000000001
6.300000000000001, 0.017, 0.0373
6.4, 0.017, 0.03560000000000001
6.5, 0.017, 0.0339
6.6000000000000005, 0.017, 0.03219999999999999
6.7, 0.017, 0.0305
6.800000000000001, 0.017, 0.028799999999999992
6.9, 0.017, 0.0271
7.0, 0.017, 0.025400000000000006
7.1000000000000005, 0.017, 0.0237
7.2, 0.017, 0.022000000000000006
7.300000000000001, 0.017, 0.0203
7.4, 0.017, 0.018600000000000005
7.5, 0.017, 0.016900000000000012
7.6000000000000005, 0.017, 0.015199999999999991
7.7, 0.017, 0.013499999999999998
7.800000000000001, 0.017, 0.011799999999999991
7.9, 0.017, 0.010099999999999998
8.0, 0.017, 0.008400000000000005
8.1, 0.017, 0.0067000000000000115
8.200000000000001, 0.017, 0.0049999999999999906
8.3, 0.017, 0.0032999999999999974
8.4, 0.017, 0.0015999999999999903
8.5, 0.017, -9.999999999998899e-05
8.6, 0.017, -0.001799999999999996
8.700000000000001, 0.017, -0.003500000000000003
8.8, 0.017, -0.00520000000000001
8.9, 0.017, -0.006900000000000017
9.0, 0.017, -0.008599999999999997
9.1, 0.017, -0.010299999999999976
9.200000000000001, 0.017, -0.01200000000000001
9.3, 0.017, -0.01369999999999999
9.4, 0.017, -0.015400000000000025
9.5, 0.017, -0.017100000000000004
9.600000000000001, 0.017, -0.01880000000000004
9.700000000000001, 0.017, -0.020500000000000018
9.8, 0.017, -0.022199999999999998
9.9, 0.017, -0.023899999999999977
10.0, 0.017, -0.02560000000000001
10.100000000000001, 0.01614999999999999, -0.027257500000000046
10.200000000000001, 0.015299999999999992, -0.028830000000000022
10.3, 0.014449999999999994, -0.030317500000000025
10.4, 0.013599999999999998, -0.031720000000000026
10.5, 0.012750000000000001, -0.033037500000000025
10.600000000000001, 0.011899999999999989, -0.03427000000000002
10.700000000000001, 0.011049999999999992, -0.03541750000000002
10.8, 0.010199999999999994, -0.03648000000000001
10.9, 0.009349999999999997, -0.037457500000000005
11.0, 0.0085, -0.03835000000000002
11.100000000000001, 0.007649999999999988, -0.03915750000000001
11.200000000000001, 0.006799999999999992, -0.03988000000000003
11.3, 0.005949999999999995, -0.04051750000000001
11.4, 0.005099999999999997, -0.04107000000000002
11.5, 0.00425, -0.041537500000000005
11.600000000000001, 0.003399999999999988, -0.04192000000000001
11.700000000000001, 0.0025499999999999915, -0.04221750000000002
11.8, 0.001699999999999995, -0.04243000000000002
11.9, 0.0008499999999999966, -0.042557500000000026
12.0, 0.0, -0.04260000000000003
